Date,Food,Quantity,Calories
10/04/2020,Eggs,2,72
10/04/2020,Bacon,2,43
10/04/2020,Protien Shake,3,121
10/04/2020,Mix Veg Bag,2,64
10/04/2020,Harribos,1,342
10/04/2020,chicken sandwhich ,1,369
10/04/2020,Pasta,2,131
10/04/2020,stew,1,330
10/04/2020,Drumstick,3,120
11/04/2020,Eggs,3,72
11/04/2020,Bread,3,95
11/04/2020,Protein Shake,4,121
11/04/2020,Apple,1,80
11/04/2020,Brunch Bar,2,140
11/04/2020,Pizza Slice,3,215
12/04/2020,Oatmeal,2,68
12/04/2020,almond milk,2,40
12/04/2020,Protien Shake,3,121
12/04/2020,blueberries,2,80
12/04/2020,flapjack,2,410
12/04/2020,Sprite Zero,1,2
12/04/2020,Mince Beef,1,320
12/04/2020,Pasta,2,131
12/04/2020,Hot Chocolate,1,77
13/04/2020,Eggs,3,72
13/04/2020,Bacon,4,42
13/04/2020,bread,2,95
13/04/2020,Apple,2,80
13/04/2020,Black Coffee,1,5
13/04/2020,cookies,4,258
13/04/2020,Pasta,2,131
13/04/2020,Mince Beef,1,320
14/04/2020,Eggs,3,72
14/04/2020,Baked Beans,1,328
14/04/2020,bacon,4,43
14/04/2020,apple,1,80
14/04/2020,Harribos,1,342
14/04/2020,Fruit Sald,1,110
14/04/2020,Jasmine Rce,2,206
14/04/2020,stew,1,330
14/04/2020,Drumstick,3,120
15/04/2020,Oatmeal,2,68
15/04/2020,almond milk,2,40
15/04/2020,banana,1,105
15/04/2020,Protien Shake,3,121
15/04/2020,Mix Veg Bag,2,64
15/04/2020,flapjack,2,410
15/04/2020,Ham sandwhich,1,230
15/04/2020,Strawberry Milkshake,1,380
15/04/2020,Fish Fingers,5,51
15/04/2020,Green Peas,1,70
16/04/2020,oatmeal,2,68
16/04/2020,almond milk,2,40
16/04/2020,Protien Shake,3,121
16/04/2020,banana,2,105
16/04/2020,Skittles,3,110
16/04/2020,Lucozade,1,266
16/04/2020,Chicken Wrap,2,360
16/04/2020,Green tea,1,20
